review_id,game_id,author,hours_played,recommended,helpful_votes,date,review_text
r001,g14,irrigation_nation,36.0,True,9,2025-11-22,"The customization depth surprised me: swapped my Trowel-9's shoulder cannon for an irrigation drone bay, tuned the leg servos for soft soil, painted the whole thing sage green. Every farm chore has a mech solution and finding it is the game's real puzzle. Combat is thin, sure, but I've stopped caring — my drones water the rustwheat while I watch the sunrise from the cockpit."
r002,g18,prodigal_planter,344.7,True,48,2026-05-22,"Came back after a year away for the 2.0 Reforged update and it is everything the old roadmap promised and then some. Mythril forging tier, frostwheat winter crops, ranching, and an apology letter in the patch notes that made me weirdly emotional. The 14 month silence was rough and they clearly know it. All is forgiven, my hammer is busy again."
r003,g11,pawn_fodder,6.3,False,19,2023-08-30,Rank 2 and I keep getting paired against actual grandmasters. Why.
r004,g01,photonfinish,39.0,True,19,2025-06-01,"Came back after patch 1.4 and the crashing is completely gone. Three-hour session last night, zero issues. Changing my review back to positive. The new drift ghosts feature is a great excuse to lose to yourself repeatedly."
r005,g16,coldtake_carl,18.0,True,6,2026-03-20,"Staggering ambition. Broken, beautiful, and unlike anything else."
r006,g16,tpose_witness,6.1,False,88,2026-02-16,"Every NPC in Frosthaven greeted me in T-pose like they were about to ascend. The Whiteout Protocol quest will not complete, the script just dies after the avalanche. Wait for patches."
r007,g14,forty_ton_farmer,12.0,True,14,2025-05-20,Watered my rustwheat with a mech the size of a church. Inner peace achieved.
r008,g08,ragequit_rhino,9.5,False,8,2023-11-30,"This isn't 'brutal but fair', it's a dev laughing at you. Checkpoints are placed out of spite. Magnetron Prime took me 70 attempts and when it died I felt nothing but relief. Life is too short."
r009,g01,driftking_92,41.5,True,12,2025-03-14,"Still my favorite arcade racer this decade, but I CTD'd twice tonight in the middle of championship races. 1.3 broke something. Recommending anyway because the handling is that good, but save often and lower your expectations."
r010,g12,reef_returner,21.0,True,14,2026-03-01,Patch 1.2 fixed the saves. Now the only thing eating my run is the anglerkin.
r011,g16,waityear_wendy,5.0,False,9,2026-03-05,Come back in a year. Trust me and my broken save file.
r012,g04,lod_pls,97.0,False,34,2026-02-02,"A year and a half of patches and large castles still chug. The optimization pass helped, but the engine redraws every distant arrow slit as if I'm standing next to it. No level-of-detail system, no occlusion, so ambition gets punished with stutter. The creative tools are the best in the genre, which is exactly why this hurts. I'll come back when my keep stops running like a flipbook."
r013,g15,sleepy_udon,7.2,True,2,2024-02-27,i came for the noodles i stayed for the vibes. no notes
r014,g04,moat_enjoyer,42.0,True,15,2024-06-15,"Finally a building sim that lets me be both architect and demolition crew. Rebuilt my hometown's fortress from memory, then took a contract to tear down a rival keep. Watching the curtain wall peel away in chunks never gets old."
r015,g13,cipher_stumped,17.0,True,15,2024-12-01,"Stuck two hours on the telegraph cipher before caving and opening a guide. The solution was clever in hindsight, but the game gives you almost nothing to work with. Still adored the rest."
r016,g15,penthouse_pauper,121.6,False,44,2025-09-30,"121 hours, so take my thumbs down with a grain of salt. The core loop is great but the endgame is a treadmill: same shifts, same tickets, same three broths, forever. The roadmap teased an Endless Night mode over a year ago and we got a cat sticker pack instead. I burned out waiting. If you are fine with a 30 hour game, buy it today. Just do not expect it to keep growing."
r017,g20,cash_register_carl,8.3,False,15,2025-01-22,Great game buried under a cash register.
r018,g15,lofi_slurp,26.0,True,9,2023-11-18,The lo-fi soundtrack alone is worth the price. I leave the game running while I work just for the music. Broth Bros please sell the OST separately.
r019,g10,cul_de_sac_dad,9.0,True,6,2026-02-14,My daughter and I take turns launching the ice cream truck. She's seven and calls it 'the yeet game'. Best 7 euros I've ever spent on our relationship.
r020,g12,sonar_scaredy,16.0,True,24,2025-03-20,"I have never been this scared by a game. The sonar ping mechanic means you hear things long before you see them, and what you hear is worse. Played entirely with the lights on. No regrets, some trauma."
r021,g06,dev_null_dumper,71.0,True,35,2025-08-08,"Piped an entire wave of malware sprites into /dev/null and felt like a god. Chained tail into grep to spot the hidden daemon spawning adds during the Kernel fight. Chmod'd a locked door to 777 and strolled through like it was nothing. Yes, the first five hours are a cliff face with no rope, and the game explains none of it. Climb anyway. The view from root is worth it."
r022,g08,pendulum_pat,55.0,True,27,2025-04-08,"Pros:
- Pixel-perfect physics, best in the genre
- Level design keeps introducing new ideas for 30+ hours
- Soundtrack goes stupidly hard for a game about falling

Cons:
- Controller support has been 'beta' for over a year
- Magnetron Prime is a difficulty cliff, not a curve
- No assist options for the wrist-destroying later levels

Verdict: buy it, but bring a keyboard and patience."
r023,g17,tower_flipper,14.6,True,5,2024-05-28,Slumlord simulator but make it whimsical. Fantastic.
r024,g17,spellcheck_absent,28.9,True,6,2025-03-13,"teh funniest managment game ive ever played, my gargoyle tennant keeps complaning about pidgeons and i cant stop reading his letters. definately worth the money"
r025,g07,halloween_hype,2.6,True,29,2024-10-31,"Played it live for friends on Halloween. Four grown adults screamed at conditional formatting. The pause after it asks 'enable editing?' is the best comedic timing of the year. Short, yes, but an instant party classic."
r026,g03,anemone_crew,103.0,True,21,2025-10-10,"Last night we pulled off our greatest heist. Two of us baited the security drones around the Anemone's engine block while our rookie cut through the floor from a maintenance shaft, straight into the vault bay. Fifteen minutes of held breath on voice chat and one perfectly timed airlock cycle. No scripted mission, just systems colliding. This game creates stories. Bring three friends and some patience for the occasional disconnect."
